Point_Index,X,Y,Z
0,2.419780162120449,0.2918661440282708,0.0
1,2.4193143584345265,0.3218625275923971,0.0
2,2.4193143584345265,0.3218625275923971,0.0
3,2.4295883790041426,0.34465385272576954,0.0
4,2.4193143584345265,0.3218625275923971,0.0
5,2.2961651622303076,0.3499538022851707,0.0
6,2.2961651622303076,0.3499538022851709,0.0
7,1.53850532744069,0.3381883591954733,0.0
8,1.53850532744069,0.3381883591954733,0.0
9,1.508974747562486,0.3077261719454245,0.0
10,1.508974747562486,0.3077261719454245,0.0
11,1.5093629173007548,0.2827291856419859,0.0
12,1.5093629173007548,0.2827291856419859,0.0
13,1.5094405512484084,0.27772978838129825,0.0
14,1.5094405512484084,0.27772978838129825,0.0
15,2.419780162120449,0.2918661440282708,0.0
16,2.4295883790041426,0.34465385272576954,0.0
17,1.5126103018636736,0.7580151457307874,0.0
18,1.5126103018636736,0.7580151457307874,0.0
19,1.5023362812940566,0.7352238205974148,0.0
20,1.5023362812940566,0.7352238205974148,0.0
21,1.5329802473539549,0.6939872214907722,0.0
22,1.5329802473539549,0.6939872214907722,0.0
23,2.2961651622303076,0.3499538022851707,0.0
24,1.5329802473539549,0.6939872214907722,0.0
25,1.53850532744069,0.3381883591954733,0.0
26,1.5023362812940566,0.7352238205974145,0.0
27,1.473163368353855,0.6817289374182355,0.0
28,1.473163368353855,0.6817289374182355,0.0
29,1.4777972001423652,0.3833238369422757,0.0
30,1.4777972001423652,0.3833238369422757,0.0
31,1.508974747562486,0.3077261719454245,0.0
32,1.508974747562486,0.3077261719454245,0.0
33,1.4441954537302104,0.33172325028063865,0.0
34,1.4441954537302104,0.33172325028063865,0.0
35,1.2407049455349104,0.5429284615997055,0.0
36,1.2407049455349104,0.5429284615997055,0.0
37,1.2490109779553458,0.5775456509084512,0.0
38,1.2490109779553458,0.5775456509084512,0.0
39,1.296335348751275,0.57166524416222,0.0
40,1.296335348751275,0.57166524416222,0.0
41,1.4777972001423652,0.3833238369422757,0.0
42,1.296335348751275,0.57166524416222,0.0
43,1.473163368353855,0.6817289374182355,0.0
44,1.2490109779553458,0.5775456509084512,0.0
45,1.2450893417809703,0.6104413761579116,0.0
46,1.2450893417809703,0.6104413761579116,0.0
47,1.4438586186260327,0.7341620442090732,0.0
48,1.4438586186260327,0.7341620442090732,0.0
49,1.5023362812940566,0.7352238205974148,0.0
50,1.4438586186260327,0.7341620442090732,0.0
51,0.8817544177747942,0.9875510019821897,0.0
52,0.8817544177747942,0.9875510019821897,0.0
53,0.7859518407570087,1.0581602200722164,0.0
54,0.7859518407570087,1.0581602200722164,0.0
55,0.7962258613266249,1.080951545205589,0.0
56,0.7962258613266249,1.080951545205589,0.0
57,1.5126103018636736,0.7580151457307874,0.0
58,0.8817544177747942,0.9875510019821897,0.0
59,1.2450893417809703,0.6104413761579116,0.0
60,1.2139142757542265,0.5851475217139669,0.0
61,0.816901911816935,0.9972113617687669,0.0
62,0.816901911816935,0.9972113617687669,0.0
63,0.7859518407570087,1.0581602200722164,0.0
64,0.7859518407570087,1.0581602200722164,0.0
65,0.7572253451479831,0.9759173773978372,0.0
66,0.7572253451479831,0.9759173773978372,0.0
67,0.7669782554399145,0.3478587191588486,0.0
68,0.7669782554399145,0.3478587191588486,0.0
69,0.797776574900634,0.29668221627860025,0.0
70,0.797776574900634,0.29668221627860025,0.0
71,0.8270400675689071,0.3443440321195397,0.0
72,0.8270400675689071,0.3443440321195397,0.0
73,0.816901911816935,0.9972113617687669,0.0
74,0.7859518407570087,1.0581602200722164,0.0
75,0.7627688757058162,1.0772009693073485,0.0
76,0.7627688757058162,1.0772009693073485,0.0
77,0.39405182979381337,0.6282714506419232,0.0
78,0.39405182979381337,0.6282714506419232,0.0
79,0.39791565730234524,0.6250979924360679,0.0
80,0.39791565730234524,0.6250979924360679,0.0
81,0.4172347948450055,0.6092307014067909,0.0
82,0.4172347948450055,0.6092307014067909,0.0
83,0.45311159271961987,0.605645262205787,0.0
84,0.45311159271961987,0.605645262205787,0.0
85,0.7572253451479831,0.9759173773978372,0.0
86,0.4172347948450055,0.6092307014067909,0.0
87,0.42386009956424475,0.5779081003433858,0.0
88,0.42386009956424475,0.5779081003433858,0.0
89,0.2100287846505906,0.3175588966814217,0.0
90,0.2100287846505906,0.3175588966814217,0.0
91,0.15229842523859327,0.2866588046012466,0.0
92,0.15229842523859327,0.2866588046012466,0.0
93,0.1329792876959326,0.30252609563052346,0.0
94,0.1329792876959326,0.30252609563052346,0.0
95,0.39791565730234524,0.6250979924360679,0.0
96,0.15229842523859327,0.2866588046012466,0.0
97,0.1527642289245157,0.25666242103712034,0.0
98,0.1527642289245157,0.25666242103712034,0.0
99,0.7982423785865564,0.266685832714474,0.0
100,0.7982423785865564,0.266685832714474,0.0
101,0.7981647446389029,0.27168522997516165,0.0
102,0.7981647446389029,0.27168522997516165,0.0
103,0.797776574900634,0.29668221627860025,0.0
104,0.797776574900634,0.29668221627860025,0.0
105,0.7309970522210776,0.325648836549147,0.0
106,0.7309970522210776,0.325648836549147,0.0
107,0.2100287846505906,0.3175588966814217,0.0
108,0.7309970522210776,0.325648836549147,0.0
109,0.42386009956424475,0.5779081003433858,0.0
110,0.45311159271961987,0.605645262205787,0.0
111,0.7669782554399145,0.3478587191588486,0.0
112,1.2407049455349104,0.5429284615997055,0.0
113,0.8874945034353505,0.3230784296791962,0.0
114,0.8874945034353505,0.3230784296791962,0.0
115,0.797776574900634,0.29668221627860025,0.0
116,0.797776574900634,0.29668221627860025,0.0
117,0.8270400675689071,0.3443440321195397,0.0
118,0.8270400675689071,0.3443440321195397,0.0
119,1.2139142757542265,0.5851475217139669,0.0
120,0.7981647446389029,0.27168522997516165,0.0
121,1.5093629173007548,0.2827291856419859,0.0
122,1.4441954537302104,0.33172325028063865,0.0
123,0.8874945034353505,0.3230784296791962,0.0

Line_Index,Start_Point_Index,End_Point_Index
0,0,1
1,1,3
2,1,5
3,6,7
4,7,9
5,9,11
6,11,13
7,13,0
8,3,17
9,17,19
10,19,21
11,21,5
12,21,7
13,26,27
14,27,29
15,29,9
16,9,33
17,33,35
18,35,37
19,37,39
20,39,29
21,39,27
22,37,45
23,45,47
24,47,19
25,47,51
26,51,53
27,53,55
28,55,17
29,51,45
30,60,61
31,61,53
32,53,65
33,65,67
34,67,69
35,69,71
36,71,61
37,53,75
38,75,77
39,77,79
40,79,81
41,81,83
42,83,65
43,81,87
44,87,89
45,89,91
46,91,93
47,93,79
48,91,97
49,97,99
50,99,101
51,101,69
52,69,105
53,105,89
54,105,87
55,83,67
56,35,113
57,113,69
58,69,71
59,71,60
60,101,11
61,33,113
