Point_Index,X,Y,Z
0,2.3558363787770698,0.3428998837068822,0.0
1,1.44538701518037,0.3428998837068822,0.0
2,1.44538701518037,0.7704490724996778,0.0
3,0.7341030987627923,0.3428998837068822,0.0
4,0.7341030987627923,1.104469693113136,0.0
5,0.3208696816339862,0.3428998837068822,0.0
6,1.189644013911129,0.6167232392447806,0.0

Line_Index,Start_Point_Index,End_Point_Index
0,0,2
1,0,1
2,1,2
3,1,3
4,2,4
5,3,4
6,4,5
7,3,5
8,6,3
9,1,6
10,6,2
11,6,4
